Rank,Traditional,Simplified,Pinyin,Meaning
8420,重現,重现,chóngxiàn,reappear
8421,根據,根据,gēnjù,"basis, grounds, foundation"
8422,侵入,侵入,qīnrù,"invade, intrude into"
8423,研習會,研习会,yánxíhuì,"workshop, seminar"
8424,上前,上前,shàngqián,"approach, go forward, come forward, come_forward, come"
8425,不准,不准,bùzhǔn,deny
8426,中鋒,中锋,zhōngfēng,"center (basketball), centre, center forward, center forward (football), center"
8427,市議員,市议员,shìyìyuán,city councilor
8428,包圍,包围,bāowéi,"surround, encircle"
8429,甘肅,甘肃,gānsù,"Kansu, Gansu, Gansu province"
8430,木頭,木头,mùtóu,"wood, log, timber"
8431,大三,大三,dàsān,"third year class, upper class"
8432,下水道,下水道,xiàshuǐdào,"sump, drainage_system, sewer, sewerage, culvert, cloaca, drainage, drainage system, sink, cesspit, cesspool, drain"
8433,奴隸,奴隶,núlì,"vassal, servant, Helot, serf, helot, chattel, thrall, slave, bondslave, bondservant, Mameluke, bondman, bond servant, minion, bondsman"
8434,不忘,不忘,búwàng,"remember, bear in mind"
8435,充當,充当,chōngdāng,"act_as, play the role of, allot, play the part of, act as, serve, serve/act as, serve as"
8436,僑生,侨生,shēng,overseas Ch. students in China
8437,右邊,右边,yòubiān,"right-hand side, the right"
8438,屢,屡,lǔ,"over and over again, again and again, repeatedly, over and over, time and again, frequently, time_and_again, time and time again"
8439,未免,未免,wèimiǎn,"rather, truly, inevitably"
8440,大理石,大理石,dàlǐshí,marble
8441,人質,人质,rénzhí,"surety, pawn, hostage"
8442,回饋,回馈,huíkuì,feedback
8443,打聽,打听,dǎtīng,"ask about, check_up_on, snoop, inquire/ask about, pry, inquire, find_out, seek, inquire about"
8444,人影,人影,rényǐng,"figure, sign of human presence, human shadow"
8445,丈,丈,zhàng,"male elder relative, a form of address for certain male relatives by ma, m.[standard], ,male elder person, male elder relative/person"
8446,包圍,包围,bāowéi,"surround, encircle"
8447,山洞,山洞,shāndòng,"cave, cavern"
8448,護,护,hù,"protect, guard, be partial to, shield, cover"
8449,鴿子,鸽子,gēzi5,"<Nab> pigeon, dove"
8450,蹤跡,踪迹,zōngjī,"slot, track, footprint, scent, trace, trail"
8451,全國性,全国性,quánguóxìng,"nationwide, countrywide, national"
8452,單調,单调,dāndiào,"monotonous, dull, drab, boring"
8453,微妙,微妙,wéimiào,"delicate, subtle"
8454,悲傷,悲伤,bēishāng,"sad, sorrowful"
8455,圍繞,围绕,wéirào,"move around, center on, revolve around"
8456,景致,景致,jǐngzhì,"view, aspect, prospect, scene, scenery, vista, panorama"
8457,匯集,汇集,huìjí,"collect, compile, come together, converge, assemble"
8458,來往,来往,láiwǎng,come and go
8459,絲,丝,sī,"silk, threadlike thing, tiny bit, trace"
8460,自信心,自信心,zìxìnxīn,self-confidence
8461,新奇,新奇,xīnqí,"novel, newfangled, new, strange"
8462,無用,无用,wúyòng,"wasted, useless"
8463,過境,过境,guòjìng,"be in transit, pass through the territory of a country, be in transit (international travel), pass through a country's territory"
8464,飽受,饱受,bǎoshòu,"suffer enough from, have one's fill of, be subject to, endure one's fill of, endure one's fill of (hardship)"
8465,網絡,网络,wǎngluò,"meshwork, net, network, mesh, reticulation"
8466,著稱,著称,zhùchēng,be widely known as
8467,寫照,写照,xiězhào,"portraying, portrayal, depicting, representation, mirror, depiction, portraiture"
8468,惡,恶,è,evil
8469,督促,督促,dūcù,supervise and urge
8470,感嘆,感叹,gǎntàn,"sigh, exclaim"
8471,源頭,源头,yuántóu,"origin, wellspring, springhead, beginning, spring, well, fountainhead, root, source"
8472,壺,壶,hú,"kettle, pot, bottle, flask"
8473,暫,暂,zhàn,temporary
8474,標示,标示,biāoshì,"designate, highlight"
8475,錢,钱,qián,Surname
8476,零組件,零组件,língzǔjiàn,"spare parts, spares, components"
8477,盡頭,尽头,jìntóu,"vanishing_point, side, dead_end, vanishing point, end, nonplus, impasse, extremity"
8478,語言學,语言学,yǔyánxué,"phonology, language, glossology, language learning, linguistic, philology, linguistics"
8479,普渡,普渡,pǔdù,save all beings
8480,督促,督促,dūcù,supervise and urge
8481,好奇心,好奇心,hàoqíxīn,curiosity
8482,來自於,来自于,láizìyū,"originate in, originate from, stem, come"
8483,走動,走动,zǒudòng,"stump, visit each other, stretch one's legs, slope, ambulate, go, walk about, get around, navigate, get about"
8484,諒解,谅解,liàngjiě,"understand, make allowance for"
8485,飲,饮,yǐn,"drink, swallow (insults/etc.), be hit (by bullet/etc.)"
8486,天皇,天皇,tiānhuáng,"the emperor of Japan, emperor, Mikado, mikado, emperor of Japan"
8487,儘,尽,jǐn,"to the greatest extent, utmost"
8488,蒙,蒙,méng,cover
8489,辣,辣,là,"sharp, spicy, biting (of smell/taste), sharp, spicy, biting (of smell/taste)"
8490,慚愧,惭愧,cánkuì,"be ashamed, ashamed, blush"
8491,榕樹,榕树,róngshù,small-fruited fig/banyan tree
8492,模組,模组,mózǔ,module
8493,山丘,山丘,shānqiū,"hummock, height, eminence, swelling, hill, tomb, hillock"
8494,團圓,团圆,tuányuán,reunion
8495,代表會,代表会,dàibiǎohuì,congress
8496,燃料,燃料,ránliào,"combustible, firing, fuel, elding, fueling, combustible material"
8497,歌仔戲,歌仔戏,gēzǎixì,Taiwan regional opera
8498,憲政,宪政,xiànzhèng,"constitutional government, constitutionalism"
8499,夢幻,梦幻,mènghuàn,"chimera, languor, reverie, dreaminess, pipe_dream, dream, illusion, dreaming, translunary, somnolence"
8500,滑水,滑水,huáshuǐ,water-ski
8501,結盟,结盟,jiéméng,"form alliance, ally, align"
8502,舅舅,舅舅,jiùjiù,"mother's brother, uncle"
8503,圓形,圆形,yuánxíng,"circular, roundness, rondure, rotundity, round, circularity, wreath, circular shape"
8504,諒解,谅解,liàngjiě,"understand, make allowance for"
8505,欠,欠,qiàn,"yawn, be short of, lack, aught, wanting, slightly raise one's body, be not enough, raise slightly, lacking, owe, be behind with"
8506,倡導,倡导,chàngdǎo,"lead, initiate, introduce, proposal, initiation, propose"
8507,繩子,绳子,shéngzi5,"rope, string"
8508,覺悟,觉悟,juéwù,"come to understand, realize"
8509,讚賞,赞赏,zànshǎng,"applaud, praise, appreciate"
8510,額度,额度,édù,"volume, limit"
8511,藝品,艺品,yìpǐn,work of art
8512,分泌,分泌,fēnmì,secrete
8513,上方,上方,shàngfāng,"surface of, upward, upwards, above, on top, upper"
8514,王朝,王朝,wángcháo,"reign, imperial court, dynasty, royal court, dynastic, imperial/royal court, imperial"
8515,北上,北上,běishàng,proceed/go northward
8516,不自覺,不自觉,búzìjué,be not conscious/aware
8517,由來,由来,yóulái,"filiation, origin, pedigree, derivation, cause, causal agent, whence, causal agency"
8518,主計處,主计处,zhǔjìchù,Budget Accounting Statistics
8519,日夜,日夜,rìyè,day and night
8520,不盡,不尽,bújìn,not quite so
8521,分泌,分泌,fēnmì,secrete
8522,只不過,只不过,zhǐbúguò,"only, just, merely"
8523,外圍,外围,wàiwéi,"circumference, margin, periphery"
8524,少爺,少爷,shàoyé,"childe, young master of the house, young son, child, Signorino, your son"
8525,北上,北上,běishàng,proceed/go northward
8526,美滿,美满,měimǎn,"happy, harmonious (of a family)"
8527,偏好,偏好,piānhào,be partial to sth.
8528,清澈,清澈,qīngchè,"limpid, clear"
8529,送來,送来,sònglái,deliver
8530,船長,船长,chuánzhǎng,"captain, skipper"
8531,晚年,晚年,wǎnnián,"old age, one's later years"
8532,書局,书局,shūjú,"bookstore, bookstall, press, publishing house, book company, bookshop"
8533,曹操,曹操,cáocāo,one of most celebrated figures in Three Kingdoms period
8534,偏好,偏好,piānhào,be partial to sth.
8535,偽造,伪造,wěizào,"forge, counterfeit"
8536,海灣,海湾,hǎiwān,"frith, estuary, gulf, bight, firth, loch, bay, fjord, sound, bayou, lough, arm, beach"
8537,倉儲,仓储,cāngchú,keep (grain/goods/etc.) in storehouse
8538,音樂家,音乐家,yīnyuèjiā,musician
8539,信息,信息,xìnxí,"data, communication, message, information, news"
8540,知情,知情,zhīqíng,know the facts of a case
8541,庫存,库存,kùcún,"inventory, armory, armoury, reserve, stock"
8542,振興,振兴,zhènxīng,"develop vigorously, promote"
8543,捏,捏,niē,"trump up, mould, hold between the finger and thumb, knead with the fingers, hold between fingers, mold, knead, pinch, nip, work, fabricate"
8544,超出,超出,chāochū,"overtop, surpass, exceed, outstep, outrun, forereach, transcend, overstep, go beyond, beyond, rise"
8545,中立,中立,zhōnglì,neutral
8546,南管,南管,nánguǎn,Chinese tradtional instrument
8547,結盟,结盟,jiéméng,"form alliance, ally, align"
8548,勝過,胜过,shèngguò,be superior to
8549,感冒,感冒,gǎnmào,common cold
8550,振興,振兴,zhènxīng,"develop vigorously, promote"
8551,盛會,盛会,shènghuì,"distinguished gathering, grand meeting"
8552,塞納河,塞纳河,sènàhé,Seine_River
8553,飽,饱,bǎo,"having eaten one's fill, satisfied, stuffed, full, satisfy, plump, be full, satiated"
8554,飾演,饰演,shìyǎn,"impersonate, act the part of, act, play part of, personate, play the role of, play, portray"
8555,奧林匹克,奥林匹克,àolínpīkè,"Olympia, Olympic, Olimpic Games"
8556,準時,准时,zhǔnshí,"punctual, punctually"
8557,過渡,过渡,guòdù,ferry stream
8558,造勢,造势,zàoshì,create better situation
8559,著實,着实,zhuóshí,"really, indeed, severely"
8560,清洗,清洗,qīngxǐ,"rinse, wash, purge"
8561,笙,笙,shēng,reed pipe wind instrument
8562,清洗,清洗,qīngxǐ,"rinse, wash, purge"
8563,將要,将要,jiāngyào,"going to, will, shall"
8564,偽造,伪造,wěizào,"forge, counterfeit"
8565,排定,排定,páidìng,"arrange, put in order, sequence"
8566,追究,追究,zhuījiù,"look into, find out, investigate"
8567,華文,华文,huáwén,Ch. language/script
8568,呼應,呼应,hūyìng,"echo, work in concert with"
8569,赤字,赤字,chìzì,"shortfall, deficit, shortage, red, budget deficit, trade deficit"
8570,年級,年级,niánjí,"grade, year (in school, etc.)"
8571,到場,到场,dàochǎng,"turn_out, be present, turn out, turn up, show up"
8572,自家,自家,zìjiā,oneself
8573,向善,向善,xiàngshàn,do good turns
8574,西裝,西装,xīzhuāng,"business suit, lounge suit, Western-style clothes, double breasted suit, single breasted suit, two piece suit, three piece suit"
8575,多加,多加,duōjiā,"in addition, moreover"
8576,受難,受难,shòunàn,"suffer calamities, be in distress, suffer disaster, suffer calamity"
8577,洪水,洪水,hóngshuǐ,"cataclysm, freshet, floodwater, flood, deluge, overflow, outpouring, alluvion, inundation, spate"
8578,技法,技法,jìfǎ,"skill and technique, technique and method"
8579,多寡,多寡,duōguǎ,"number, amount"
8580,形勢,形势,xíngshì,"aspect, lie, tide, state of affairs, state_of_affairs, contour, complexion, terrain, circumstances, topographical features, situation, outlook, posture, position, topological features"
8581,京都,京都,jīngdū,"capital of a country, Kyoto (Jp.), Kyoto"
8582,呼應,呼应,hūyìng,"echo, work in concert with"
8583,防守,防守,fángshǒu,"defend, guard"
8584,江,江,jiāng,Surname
8585,些許,些许,xiēxǔ,"littleness, det.: a little, thought, groat, a few, a bit"
8586,竹林,竹林,zhúlín,"bamboo forest/grove, bamboo forest, grove, bamboo grove"
8587,防守,防守,fángshǒu,"defend, guard"
8588,法務部,法务部,fǎwùbù,Ministry of Justice
8589,步伐,步伐,bùfá,"marching, gait, walking, foot, footing, march, pace, cadence, step"
8590,經理人,经理人,jīnglǐrén,"handler, operator, syndic, impresario"
8591,發脾氣,发脾气,fāpíqì,"angry, be cross, lose one's temper, lose temper, get worked up, forget, get angry, be peevish"
8592,想出,想出,xiǎngchū,"formulate, excogitate, devise, recur, figure_out, invent, contrive, work out, call to mind, puzzle_out, project, dope, evolve, think_up, forge, drum_up, originate, think, think_of, think of"
8593,喘,喘,chuǎn,"gasp for breath, pant"
8594,端,端,duān,"hold sth. level, carry"
8595,腎,肾,shèn,kidney
8596,照樣,照样,zhàoyàng,"after a model, after a pattern, as_usual, likewise, in the same old way, as before, model"
8597,麻痺,麻痺,mábì,"torpify, slacken vigilance, anesthetize, blunt, paralytic, slumber, benumb"
8598,漲停,涨停,zhǎngtíng,Limit Up
8599,傳真,传真,chuánzhēn,fax
8600,歷時,历时,lìshí,"occupy, take (a period of time), last, take, use up"
8601,筷子,筷子,kuàizi5,chopsticks
8602,做愛,做爱,zuòài,make love
8603,預訂,预订,yūdìng,"set, place an order, book, subscribe, book_up, reserve, speak_for, hold, book up, subscription"
8604,銅像,铜像,tóngxiàng,bronze statue
8605,趕上,赶上,gǎnshàng,"emulate, happen to, overtake, run into, forereach, catch up with, run into (situation), catch_up, meet up with, catch up, pull_up, be in time for, catch_up_with, catch, overhaul, make"
8606,報章,报章,bàozhāng,newspapers
8607,連忙,连忙,liánmáng,"promptly, at once"
8608,救援,救援,jiùyuán,"rescue, come to sb.'s help"
8609,粗糙,粗糙,cūcào,"coarse, rough, crude"
8610,大腦,大脑,dànǎo,"brain, cerebral, encephalon, cerebrum"
8611,機票,机票,jīpiào,plane ticket
8612,接送,接送,jiēsòng,receive and send off (guests/visitors)
8613,添加,添加,tiānjiā,"add, increase"
8614,酒吧,酒吧,jiǔbā,bar
8615,處分,处分,chǔfèn,discipline/punish sb.
8616,惡鬼,恶鬼,èguǐ,"bogie, goblin, monster, bogy, cacodemon, demon, hobgoblin, hellhound, bogey"
8617,純樸,纯朴,chúnpú,"honest, simple, unsophisticated"
8618,做愛,做爱,zuòài,make love
8619,票房,票房,piàofáng,booking/box office
8620,時程,时程,shíchéng,schedule
8621,盛大,盛大,shèngdà,"grand, magnificent"
8622,添加,添加,tiānjiā,"add, increase"
8623,單價,单价,dānjià,unit price
8624,送醫,送医,sùyī,be sent to hospital
8625,內戰,内战,nèizhàn,"civil_war, civil war"
8626,功勞,功劳,gōngláo,"service, meritorious service, merit, meritoriousness, credit, contribution, exploit, deservingness"
8627,出擊,出击,chūjí,"launch attack, make sally"
8628,大軍,大军,dàjūn,"army, great concentration of troops, large contingent, main force, battalion, legion"
8629,外海,外海,wàihǎi,open sea
8630,介於,介于,jièyū,be situated in between
8631,位址,位址,wèizhǐ,"location, address"
8632,出擊,出击,chūjí,"launch attack, make sally"
8633,天文學,天文学,tiānwénxué,astronomy
8634,工商業,工商业,gōngshāngyè,industry and commerce
8635,舉止,举止,jǔzhǐ,"dispose, ongoing, demeanor, deportment, mien, behavior, conduct, manner, goings-on, carriage, demeanour, address, setup, comportment, guise, going, bearing, sort"
8636,瀰漫,瀰漫,mímàn,"fill the air, spread everywhere"
8637,攝,摄,shè,"absorb, assimilate, take photograph of, shoot, conserve (one's health), act for"
8638,禮儀,礼仪,lǐyí,"ceremony, courtesy, code, form, properness, correctitude, propriety, protocol, etiquette, ceremonial, amenity, decorum, decency, rite, devoir"
8639,強硬,强硬,qiángyìng,"strong, tough, unyielding"
8640,高出,高出,gāochū,be higher/taller than
8641,打獵,打猎,dǎliè,hunt
8642,總工會,总工会,zǒnggōnghuì,federation of trade unions
8643,審美,审美,shěnměi,appreciate beauty
8644,噢,噢,òu,of surprised understanding
8645,箭,箭,jiàn,arrow
8646,像,像,xiàng,"portrait, picture"
8647,精靈,精灵,jīnglíng,"spirit, demon"
8648,幕後,幕后,mùhòu,"background, backcloth, scene, backstage, behind the scenes, backdrop"
8649,小徑,小径,xiǎojìng,"back street, path, lane, defile, footpath, close, trackway, alley, alleyway, trail, narrow path"
8650,廣闊,广阔,guǎngkuò,"vast, capacious, broad"
8651,午後,午后,wǔhòu,"PM, P.M., pm, post meridiem, afternoon, evening, postmeridian"
8652,截然不同,截然不同,jiéránbùtóng,sharply/completely different
8653,賣壓,卖压,màiyā,Selling Climax
8654,不予,不予,bùyǔ,not grant
8655,打入,打入,dǎrù,"throw into, infiltrate"
8656,支票,支票,zhīpiào,"cheque, chequer, (bank) check, bank check, check"
8657,一般性,一般性,yībānxìng,"universality, generic, Oxbridge, universalism, generality, vague generalization, universal, universal joint"
8658,據悉,据悉,jùxī,"it is reported, it is reported that..."
8659,樂意,乐意,lèyì,"willing, be willing, be willing to, be willing/ready to, be ready to"
8660,辛勤,辛勤,xīnqín,"industrious, hardworking"
8661,甚為,甚为,shènwéi,"extremely, very, even, exceeding, vitally, much"
8662,事業部,事业部,shìyèbù,business department/ministry
8663,抄襲,抄袭,chāoxí,"plagiarize, indiscriminately copy from others"
8664,孤單,孤单,gūdān,"solitary, friendless, alone"
8665,尖峰,尖峰,jiānfēng,"peak, highest peak"
8666,列,列,liè,m.[general]
8667,沉默,沉默,chénmò,"reticent, taciturn, silent"
8668,抑或,抑或,yìhuò,"conj.: or else, could it be that...?"
8669,立足,立足,lìzú,"have a footing, stand"
8670,辛勤,辛勤,xīnqín,"industrious, hardworking"
8671,沉默,沉默,chénmò,"reticent, taciturn, silent"
8672,直覺,直觉,zhíjué,intuition
8673,空虛,空虚,kōngxū,"hollow, void, devoid of meaning"
8674,重慶,重庆,chóngqìng,city in Sichuan
8675,空虛,空虚,kōngxū,"hollow, void, devoid of meaning"
8676,封鎖,封锁,fēngsuǒ,"blockade, block, seal off"
8677,名次,名次,míngcì,"position in a name list, position, place, place in a competition"
8678,有利於,有利于,yǒulìyū,"support, facilitate, profit, advantage, be advantageous, help, beneficial at"
8679,往返,往返,wǎngfǎn,go and return
8680,江南,江南,jiāngnán,"south of the river, area south of Yangtze"
8681,注視,注视,zhùshì,"watch attentively, gaze at"
8682,注視,注视,zhùshì,"watch attentively, gaze at"
8683,淨化,淨化,jìnghuà,purify
8684,江湖,江湖,jiānghú,"rivers and lakes, all corners of the country"
8685,沒落,没落,mòluò,"decline, wane"
8686,伊朗,伊朗,yīlǎng,Iran
8687,成語,成语,chéngyǔ,"set phrase, phrase, phrasal idiom, idiomatic expression, parlance, set_phrase, idiom"
8688,抄襲,抄袭,chāoxí,"plagiarize, indiscriminately copy from others"
8689,企管,企管,qìguǎn,enterprise management
8690,往返,往返,wǎngfǎn,go and return
8691,身後,身后,shēnhòu,"behind, in the rear, behind/at the back"
8692,沒落,没落,mòluò,"decline, wane"
8693,攸關,攸关,yōuguān,"affect, be related to"
8694,伙伴,伙伴,huǒbàn,"feller, associate, group, sodality, coagent, crony, butty, colleague, confrere, mate, lad, crew_member, sport, helpmeet, pard, fellow, coachfellow, haver, sidekick, consort, rival, coadjutor, stooge, associator, pal, teammate, cully, familiar, supporter, adherent, companion, gossip, fellowship, compeer, compadre, paisano, matey, hearty, copemate, cocker, bedfellow, marrow, cobber, buddy, par"
8695,豈不,岂不,qǐbù,how couldn't/wouldn't
8696,粗糙,粗糙,cūcào,"coarse, rough, crude"
8697,飛毛腿,飞毛腿,fēimáotuǐ,"fleet-footed, fleet-footed runner"
8698,初次,初次,chūcì,for the first time
8699,砍伐,砍伐,kǎnfā,fell (trees)
8700,消,消,xiāo,"removal, disappearance, need, efface, disappear, elimination, while away, pass the time in a leisurely way, dispel, remove, while away (time), take, eliminate, annul, slake, vanish"
8701,祭拜,祭拜,jìbài,worship
8702,陶藝,陶艺,táoyì,ceramics
8703,流域,流域,liúyū,"river_basin, drainage area, drainage basin, valley, river basin, basin, drainage, water system, catchment, watershed, catchment basin, catchment area"
8704,純樸,纯朴,chúnpú,"honest, simple, unsophisticated"
8705,配上,配上,pèishàng,"group, pair"
8706,淨化,淨化,jìnghuà,purify
8707,救援,救援,jiùyuán,"rescue, come to sb.'s help"
8708,浪,浪,làng,"furlong, breaker, wave, storm, billow"
8709,寂靜,寂静,jíjìng,"quiet, still"
8710,青蛙,青蛙,qīngwā,frog
8711,吸取,吸取,xīqǔ,"sop, take in, absorption, absorb, imbibe, assimilate, sop up, suck, drag, take up, draw, drink_in, suck up, puff, soak up, assimilation"
8712,起身,起身,qǐshēn,"get/stand up, leave, start (journey)"
8713,治好,治好,zhìhǎo,"heal, cure, restore health"
8714,星座,星座,xīngzuò,"sign of the zodiac, sign, star, mansion, planetary house, constellation, asterism, house"
8715,猛,猛,měng,"fierce, valiant, fearsome, severe"
8716,俟,俟,sì,wait
8717,狩獵,狩猎,shòuliè,"jack, run, track down, hunting, hunt, gun, hunt down"
8718,板塊,板块,bǎnkuài,"plate, tectonic plate"
8719,封鎖,封锁,fēngsuǒ,"blockade, block, seal off"
8720,砍伐,砍伐,kǎnfā,fell (trees)
8721,飛行員,飞行员,fēixíngyuán,"skyman, birdman, pilot, flyboy, flier, airman, aeronaut, flyer, aviator"
8722,花卉,花卉,huāhuì,"blossom, painting of flowers/plants, painting of plants, flower, plants, flowering plant, bloom, flowers and plants, painting of flowers"
8723,家門,家门,jiāmén,"door of house, clan, household, family"
8724,抱歉,抱歉,bàoqiàn,"feel apologetic, regret, apologetic, be sorry, be sorry/apologetic, be apologetic, sorry"
8725,迫害,迫害,pòhài,persecute
8726,南洋,南洋,nányáng,"Southeast China coastal provinces, Malay archipelago, South Sea, South Asia, South Seas"
8727,便捷,便捷,biànjié,"convenient, facile"
8728,迫害,迫害,pòhài,persecute
8729,便捷,便捷,biànjié,"convenient, facile"
8730,補救,补救,bǔjiù,remedy
8731,發包,发包,fābāo,put out to contract
8732,過分,过分,guòfèn,"excessive, undue"
8733,經過,经过,jīngguò,"process, course"
8734,農人,农人,nóngrén,"redneck, farmer"
8735,塗,涂,tú,"spread on, overlay, blot out, smear, bedaub, put on, apply, imbrue, besmear, paste, scrawl, scribble, application, cross out"
8736,漢語,汉语,hànyǔ,"Chinese/Sinitic language(s), Chinese, Sinitic language, Chinese language, Sinitic, Sinitic language(s)"
8737,豬公,猪公,zhūgōng,"pig, hog, swine"
8738,聚落,聚落,jùluò,"station, village, settlement, dwelling place, town"
8739,漫畫家,漫画家,mánhuàjiā,"caricaturist, distortionist, cartoonist"
8740,演練,演练,yǎnliàn,"drill, practice"
8741,稀少,稀少,xīshǎo,"few, rare, scarce"
8742,審理,审理,shěnlǐ,"try, hear (case)"
8743,漢字,汉字,hànzì,"Sinogram, kanji, sinograph, Chinese character, Ch. character"
8744,審理,审理,shěnlǐ,"try, hear (case)"
8745,隔,隔,gé,"at a distance from, after an interval of"
8746,揚言,扬言,yángyán,"blazon, broadcast threats, threaten"
8747,農家,农家,nóngjiā,peasant family
8748,補救,补救,bǔjiù,remedy
8749,結晶,结晶,jiéjīng,"crystallisation, crystal, crystalline, crystallization"
8750,補償,补偿,bǔcháng,"remedy, recompense"
8751,發包,发包,fābāo,put out to contract
8752,氣憤,气愤,qìfèn,"angry, furious"
8753,挨,挨,āi,"suffer, endure"
8754,強暴,强暴,qiángbào,rape
8755,認可,认可,rènkě,approve
8756,樣本,样本,yàngběn,"example, exemplar, pattern, representative, sample book, specimen, instance, individual, stylebook, illustration, sample, piece, model"
8757,氣憤,气愤,qìfèn,"angry, furious"
8758,強暴,强暴,qiángbào,rape
8759,無辜,无辜,wúgū,"guiltless, innocent"
8760,機型,机型,jīxíng,aircraft type
8761,浮動,浮动,fúdòng,"float, drift, be unsteady, fluctuate"
8762,挨,挨,āi,"suffer, endure"
8763,反攻,反攻,fǎngōng,"counterstrike, counterattack, react, counteroffensive"
8764,一舉,一举,yījǔ,at one stroke
8765,公然,公然,gōngrán,"publically, brazenly, publicly, professedly, openly, in public"
8766,大二,大二,dàèr,sophomore
8767,不由得,不由得,bùyóude5,can't help
8768,去除,去除,qùchú,"disembarrass, unclothe, cure, eradicate, clear_away, sublate, shake_off, shift, free, remove, eliminate, dismiss, weed out, clear, do_away_with, rid, seed, get_rid_of, pick, molt, get rid of, remedy, knock, exorcize, shunt"
8769,人氣,人气,rénqì,limelight
8770,天主教,天主教,tiānzhǔjiào,"papistry, Roman Catholicism, provincial, papism, catholicity, Catholicism, catholicism, Romanism, Catholic"
8771,心疼,心疼,xīnténg,"feel sorry, love, love dearly, make one's heart ache"
8772,口腔,口腔,kǒuqiāng,"oral_cavity, stomatological, oral, oral cavity"
8773,認得,认得,rèndé,"know, recognition, acknowledge, recognize, be acquainted with"
8774,擬訂,拟订,nǐdìng,"draw up, formulate"
8775,精,精,jīng,"perfect, excellent, refined, meticulous, precise, sharp, clever, shrewd, skilled, conversant, proficient"
8776,認可,认可,rènkě,approve
8777,誤以為,误以为,wùyǐwéi,"mistake, misapprehension"
8778,鞋,鞋,xié,"heel, shoes, boot, shoe"
8779,稿,稿,gǎo,"original text, original, stalk of grain, manuscript, stalk of cereal crops, (rough) draft, sketch, draft, straw"
8780,蒸汽,蒸汽,zhēngqì,"reek, evaporation, vapor, steam, vaporish, vapour, water vapor"
8781,篩選,筛选,shāixuǎn,"sift through, cull"
8782,墓,墓,mù,"grave, tomb, mausoleum"
8783,諾貝爾,诺贝尔,nuòbèiěr,"Noble, Nobel, Nobel Alfred Bernhard"
8784,精神科,精神科,jīngshénkē,Department of Psychiatry
8785,慶典,庆典,qìngdiǎn,"blowout, celebration, festa, gala, national celebration, potlatch, jamboree, festivity, commemoration, gala affair"
8786,導覽,导览,dǎolǎn,conduct sightseeing tour
8787,管理處,管理处,guǎnlǐchù,"management (office), administration"
8788,課長,课长,kèzhǎng,section chief
8789,市公所,市公所,shìgōngsuǒ,"public affairs office, administrative office"
8790,命名,命名,mìngmíng,name (sb./sth.)
8791,侵蝕,侵蚀,qīnshí,"corrode, erode"
8792,花草,花草,huācǎo,flowers and plants
8793,東北,东北,dōngběi,the northeast
8794,浮動,浮动,fúdòng,"float, drift, be unsteady, fluctuate"
8795,派遣,派遣,pàiqiǎn,"station, base, detail, detach, post, send, dispatch, send off, mission, despatch, place"
8796,拉開,拉开,lākāi,"draw_away, space out, pull open, draw away, undraw, draw back, pull_off, draw, draw off, pull off, unfurl, draft"
8797,法定,法定,fǎdìng,"constitutional, legal, statutory, lawful, legitimate"
8798,交涉,交涉,jiāoshè,"negotiate, make representations"
8799,吃驚,吃惊,chījīng,"stagger, scare, affright, be surprised, galvanize, fright, be startled, shocked, frighten, be shocked/amazed, frightened, be taken aback, startle, be shocked, amazed, start, be amazed, jump"
8800,有害,有害,yǒuhài,"disagree with, harmful, pernicious, detrimental, disagree_with"
8801,呆,呆,dāi,"idiotic, stay, silly, maladroit, blank, be, foolish"
8802,吾人,吾人,wúrén,we
8803,計,计,jì,"count, compute, calculate"
8804,命名,命名,mìngmíng,name (sb./sth.)
8805,自然而然,自然而然,zìránérrán,"naturally, of oneself, spontaneously, automatically"
8806,定時,定时,dìngshí,fix a time
8807,每每,每每,měiměi,"often, invariably"
8808,回味,回味,huíwèi,"live over, call sth. to mind and ponder over it, relive, recall sth. and ponder it"
8809,呈現出,呈现出,chéngxiànchū,"present, appear, emerge"
8810,收盤,收盘,shōupán,closing quotation (on exchange/etc.)
8811,收盤,收盘,shōupán,closing quotation (on exchange/etc.)
8812,年少,年少,niánshào,young of age
8813,快門,快门,kuàimén,camera shutter
8814,妥當,妥当,tuǒdàng,"appropriate, proper"
8815,忍心,忍心,rěnxīn,"unfeeling, be hardhearted enough to, have the heart to"
8816,判定,判定,pàndìng,"judge, determine"
8817,政治家,政治家,zhèngzhìjiā,"politician, solon, statesman, national leader, statist"
8818,氣流,气流,qìliú,"breath, draught, overdraft, air_current, airstream, windage, air current, airflow, draft"
8819,交涉,交涉,jiāoshè,"negotiate, make representations"
8820,救濟,救济,jiùjì,"relieve, succor"
8821,判定,判定,pàndìng,"judge, determine"
8822,香港人,香港人,xiānggǎngrén,Hong Konger
8823,陸地,陆地,lùdì,"terrene, ground, earth, shore, landfall, solid ground, terra_firma, dry_land, terra firma, continent, dry land, land, terrestrial"
8824,租金,租金,zūjīn,"reprise, hire, letting, charterage, rental, rent, paycheck, borrowing cost"
8825,最終,最终,zuìzhōng,"last, final"
8826,救濟,救济,jiùjì,"relieve, succor"
8827,接手,接手,jiēshǒu,take over (duties/etc.)
8828,陶器,陶器,táoqì,"lathe, clayware, crockery, pottery, ceramic, ware, china, jug, earthen, earthenware, ceramics"
